States/UTs,2008,2009,2010,2011,2012,2013,2014,2015,2016
Andhra Pradesh,30831,22860,13602,2532,13971,4379,16914,14579,20855
Arunachal Pradesh,160,98,123,200,24,65,31,26,92
Assam,3429,3783,5100,4164,5085,4631,4461,4494,3253
Bihar,1928,2168,1900,2016,2006,1780,926,1687,1528
Chhattisgarh,6186,7002,6553,7485,6569,5365,5717,6346,6331
Goa,2216,1765,1773,1284,1371,1400,1281,1338,1886
Gujarat,21656,20572,21356,19789,16193,15226,13798,12698,12080
Haryana,6444,5444,5231,5115,5101,3643,3645,3647,2043
Himachal Pradesh,2207,3789,3579,4130,4102,4664,5118,4691,921
Jammu & Kashmir,4441,5342,4249,6119,4098,3761,2964,2994,4150
